year,date_start,date_end,question,tag,question_number,category,sub_sample,response,percent,unweighted n,number_respondents,m_o_e,poll,Comments
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,party id,democrat,poor job,21,528,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,party id,democrat,not sure,40,528,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,party id,republican,good job,11,403,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,party id,republican,poor job,61,403,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,party id,republican,not sure,27,403,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,party id,independent,good job,18,399,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,party id,independent,poor job,50,399,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,party id,independent,not sure,32,399,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,ideology,liberal,good job,33,412,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,ideology,liberal,poor job,28,412,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,ideology,liberal,not sure,38,412,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,ideology,moderate,good job,28,456,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,ideology,moderate,poor job,38,456,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,ideology,moderate,not sure,34,456,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,ideology,conservative,good job,11,447,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,ideology,conservative,poor job,67,447,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,ideology,conservative,not sure,22,447,1500,2.6,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,total,total,good job,28,1499,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,total,total,poor job,38,1499,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,total,total,not sure,33,1499,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,gender,male,good job,26,670,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,gender,male,poor job,48,670,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,gender,male,not sure,26,670,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,gender,female,good job,31,829,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,gender,female,poor job,29,829,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,gender,female,not sure,40,829,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race/gender/education,white men no degree,good job,,,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race/gender/education,white men no degree,poor job,,,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race/gender/education,white men no degree,not sure,,,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race/gender/education,white men college grad,good job,,,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race/gender/education,white men college grad,poor job,,,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race/gender/education,white men college grad,not sure,,,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race/gender/education,white women no degree,good job,,,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race/gender/education,white women no degree,poor job,,,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race/gender/education,white women no degree,not sure,,,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race/gender/education,white women college grad,good job,,,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race/gender/education,white women college grad,poor job,,,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race/gender/education,white women college grad,not sure,,,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race,white,good job,29,1065,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race,white,poor job,40,1065,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race,white,not sure,31,1065,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race,black,good job,29,180,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race,black,poor job,33,180,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race,black,not sure,38,180,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race,hispanic,good job,27,164,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race,hispanic,poor job,33,164,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race,hispanic,not sure,39,164,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race,other,good job,22,90,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race,other,poor job,39,90,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,race,other,not sure,40,90,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,age,18-29,good job,28,232,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,age,18-29,poor job,33,232,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,age,18-29,not sure,38,232,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,age,30-44,good job,29,444,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,age,30-44,poor job,27,444,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,age,30-44,not sure,44,444,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,age,45-64,good job,29,513,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,age,45-64,poor job,42,513,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,age,45-64,not sure,29,513,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,age,65+,good job,25,310,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,age,65+,poor job,51,310,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,age,65+,not sure,23,310,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,income,under $50K,good job,27,702,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,income,under $50K,poor job,34,702,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,income,under $50K,not sure,39,702,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,income,$50-100K,good job,34,418,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,income,$50-100K,poor job,41,418,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,income,$50-100K,not sure,25,418,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,income,$100K+,good job,34,210,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,income,$100K+,poor job,48,210,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,income,$100K+,not sure,19,210,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,region,northeast,good job,25,279,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,region,northeast,poor job,41,279,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,region,northeast,not sure,34,279,1500,2.9,Economist/YouGov,
2018,9/30/2018,10/2/2018,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,5,region,midwest,good job,34,310,1500,2.9,Economist/YouGov,
